,mse,rmse,mae,r2
Random Forest,0.35125990264474394,0.5926718338547429,0.3189523010113123,0.9527781104481389
KNN,0.36513272401920327,0.6042621318758965,0.2885383304817316,0.9509131072588054
Decision Tree,0.5554417589905586,0.745279651533945,0.370210216707231,0.9253287688174558
Neural Network,2.1890433437898804,1.4795415992089849,1.1205114904815767,0.7057143094717836
SVM,2.935967080902166,1.7134663932806404,1.2098810810449077,0.6053010543521062
Linear Regression,5.3242808890309465,2.3074403327130577,1.770487661733932,0.28422628887650925
